,Time,Memory,Avg_Iterations_perTS,Completed,Still Running,Plastic Conv. Err,Conv. Iter. Err,Conv. Err
0,43165,255028,9.898089171974522,False,False,False,True,0.0163917
1,247,255092,13.492063492063492,False,False,False,True,1.5041
2,4065,254716,12.5,False,False,False,True,0.960652
3,3171,254252,21.571428571428573,False,False,False,True,16.1671
4,2245,253320,19.333333333333332,False,False,False,True,4.91486
5,40565,255080,9.501577287066246,False,False,False,True,0.47103
6,14630,254992,13.523809523809524,False,False,False,True,0.0734159
7,7354,254824,17.5625,False,False,False,True,0.523166
8,3100,254340,21.0,False,False,False,True,94.9449
9,3675,253008,36.75,False,False,False,True,0.0154171
10,31697,255104,6.207006369426751,False,False,False,True,0.0537603
11,11436,255072,8.507936507936508,False,False,False,True,0.925885
12,5525,254724,10.75,False,False,False,True,226.646
13,2630,254296,14.428571428571429,False,False,False,True,7.70125
14,2096,253348,15.0,False,False,False,True,16.3342
15,29808,255092,6.428571428571429,False,False,False,True,0.0564373
16,11672,255060,9.476190476190476,False,False,False,True,0.434821
17,5258,254728,10.28125,False,False,False,True,0.103311
18,2603,254340,13.857142857142858,False,False,False,True,66.7344
19,2045,253280,14.666666666666666,False,False,False,True,0.042693
20,3554,254980,2.0892857142857144,False,False,False,True,1.19366
21,2664,254716,2.6153846153846154,False,False,False,True,1.82385
22,1574,253960,2.4285714285714284,False,False,False,True,0.692247
23,5168,254468,19.0,True,False,False,False,[]
24,3306,254440,21.0,True,False,False,False,[]
25,3484,255008,2.109090909090909,False,False,False,True,0.56958
26,2490,254800,2.0833333333333335,False,False,False,True,0.490604
27,1812,253856,4.5,False,False,False,True,1.82657
28,4578,254460,18.105263157894736,True,False,False,False,[]
29,3130,254344,20.444444444444443,True,False,False,False,[]
30,44730,255136,2.5305305305305303,True,False,False,False,[]
31,11544,254780,2.442211055276382,True,False,False,False,[]
32,5009,254444,3.090909090909091,True,False,False,False,[]
33,1962,254408,6.2631578947368425,True,False,False,False,[]
34,1737,254496,7.111111111111111,True,False,False,False,[]
35,49887,255072,4.035035035035035,True,False,False,False,[]
36,21115,255048,6.577889447236181,True,False,False,False,[]
37,9806,254636,8.282828282828282,True,False,False,False,[]
38,3020,254432,10.526315789473685,True,False,False,False,[]
39,2130,254400,10.11111111111111,True,False,False,False,[]
40,35401,255012,7.552380952380952,False,False,False,True,0.0987232
41,13059,255056,10.952380952380953,False,False,False,True,0.765328
42,5749,254764,12.0625,False,False,False,True,0.0346051
43,2841,254280,17.428571428571427,False,False,False,True,27.3937
44,2798,253396,18.0,False,False,False,True,0.0740636
45,7106,254956,2.0324675324675323,False,False,False,True,1.43482
46,3760,255068,2.303030303030303,False,False,False,True,1.1863
47,2126,254728,2.7222222222222223,False,False,False,True,1.32914
48,4564,254824,13.555555555555555,False,False,False,True,12434.7
49,2808,254500,14.11111111111111,True,False,False,False,[]
50,3664,254996,2.452830188679245,False,False,False,True,1.13926
51,35611,254764,13.22110552763819,True,False,False,False,[]
52,17636,254420,15.303030303030303,True,False,False,False,[]
53,5435,254496,20.894736842105264,True,False,False,False,[]
54,3772,254016,23.666666666666668,True,False,False,False,[]
55,58506,254876,5.196196196196196,True,False,False,False,[]
56,24574,254868,7.944723618090452,True,False,False,False,[]
57,9989,254512,8.97979797979798,True,False,False,False,[]
58,3403,254512,12.947368421052632,True,False,False,False,[]
59,2790,253948,14.88888888888889,True,False,False,False,[]
60,68892,254872,6.4174174174174174,True,False,False,False,[]
61,31505,254948,10.492462311557789,True,False,False,False,[]
62,13006,254492,11.484848484848484,True,False,False,False,[]
63,4887,254404,16.157894736842106,True,False,False,False,[]
64,6359,253972,40.333333333333336,True,False,False,False,[]
65,65891,254976,6.314314314314315,True,False,False,False,[]
66,29608,254776,10.28643216080402,True,False,False,False,[]
67,13844,254444,12.373737373737374,True,False,False,False,[]
68,4606,254480,16.0,True,False,False,False,[]
69,3357,254496,10.473684210526315,True,False,False,False,[]
